Start Date,Description,Type,Attendance,Anchor Venue
01/06/2019,Muse: Simulation Theory,Music / Gig / Concert (MGC),"70,000",Stadium
01/06/2019,Monthly 10K,Sport (ST),500,South Lawn Zone
02/06/2019,Walk for the Children of War,Charity Event (CE),400,South Lawn Zone
05/06/2019,Chase The Sun,Sport (ST),500,South Lawn Zone
28/06/2019,Work Out Day - Boston Red Sox vs. New York Yankees,Sport (ST),"60,000",Stadium
03/07/2019,East London Cabs charity day,Charity Event (CE),100,Here East
06/07/2019,Monthly 10K,Sport (ST),500,South Lawn Zone
06/07/2019,Monsters Picnic,Charity Event (CE),500,South Lawn Zone
10/07/2019,Chase The Sun,Sport (ST),500,South Lawn Zone
19/07/2019,MTV TMUK Filming,Filming / Photography (FP),10,Southern Loop Road
20/07/2019,QEOP 5 & 10k,Sport (ST),"1,000",South Lawn Zone
20/07/2019,Women's Couch to 5k (Festival of Athletics),Sport (ST),"1,000",Stadium
21/07/2019,Junior Park Run (Festival of Athletics),Sport (ST),300,Stadium
21/07/2019,Club Connects: Relay (Festival of Athletics),Sport (ST),50,Stadium
21/07/2019,Women's Couch to 5k,Sport (ST),500,Stadium
30/07/2019,Asics Footwear Filming,Filming / Photography (FP),12,South Plaza Promenade
03/08/2019,Monthly 10K,Sport (ST),500,South Lawn Zone
03/08/2019,West Ham vs Athletic Club Bilbao,Sport (ST),"60,000",Stadium
07/08/2019,Chase The Sun,Sport (ST),500,South Lawn Zone
10/08/2019,West Ham v Manchester City,Sport (ST),"60,000",Stadium
17/08/2019,Aquathlon,Sport (ST),200,South Lawn Zone
31/08/2019,West Ham v Norwich City,Sport (ST),"60,000",Stadium
07/09/2019,Monthly 10K,Sport (ST),500,South Lawn Zone
08/09/2019,London Wing Fest,Festival (FEST),"5,000",Stadium
07/09/2019,London Wing Fest,Festival (FEST),"5,000",Stadium
11/09/2019,Chase The Sun,Sport (ST),500,South Lawn Zone
12/09/2019,Meeting - The Forge,Meeting (MEET),80,Stadium Hospitality
13/09/2019,"Meeting - The BM6, Box 11 and The Arnold Hills",Meeting (MEET),80,Stadium Hospitality
18/09/2019,Meeting - The BM6,Meeting (MEET),12,Stadium Hospitality
21/09/2019,QEOP 5 & 10k,Sport (ST),"1,000",South Lawn Zone
21/09/2019,Meeting - The Royal East,Meeting (MEET),35,Stadium Hospitality
22/09/2019,West Ham v Manchester United,Sport (ST),"60,000",Stadium
