date,sensor_number,calls_number,Myotis brandtii,Myotis daubentonii,Myotis nattereri,Nyctalus leisleri,Nyctalus noctula,Pipistrellus nathusii,Pipistrellus pipistrellus,Pipistrellus pygmaeus,Plecotus auritus,Plecotus austriacus
2018-02-01,6,18,0,0,0,4,1,10,3,0,0,0
2018-02-02,6,15,0,0,0,6,0,6,1,2,0,0
2018-02-03,6,5,0,0,0,1,0,4,0,0,0,0
2018-02-04,6,26,0,0,0,3,0,5,2,16,0,0
2018-02-05,6,15,0,0,0,3,1,9,1,1,0,0
2018-02-06,6,28,0,0,0,3,0,13,6,6,0,0
2018-02-07,6,17,0,0,0,4,2,6,5,0,0,0
2018-02-08,6,28,1,0,0,5,0,9,3,10,0,0
2018-02-09,6,4,0,0,0,0,1,2,0,1,0,0
2018-02-10,6,1,0,0,0,0,0,1,0,0,0,0
2018-02-11,6,10,0,0,0,1,0,4,5,0,0,0
2018-02-12,6,25,0,0,0,5,1,14,3,2,0,0
2018-02-13,6,8,0,0,0,0,1,4,3,0,0,0
2018-02-14,6,2,0,0,0,2,0,0,0,0,0,0
2018-02-15,6,10,0,0,0,1,1,6,1,1,0,0
2018-02-16,6,18,0,0,0,1,4,5,1,7,0,0
2018-02-17,6,32,0,0,0,2,16,10,3,1,0,0
2018-02-18,6,11,0,0,0,2,1,6,1,1,0,0
2018-02-19,6,10,0,0,0,0,1,0,9,0,0,0
2018-02-20,6,6,0,0,0,1,3,1,0,1,0,0
2018-02-21,6,50,0,0,0,4,30,13,3,0,0,0
2018-02-22,6,34,0,0,0,3,18,11,1,1,0,0
2018-02-23,6,26,0,0,0,13,2,7,4,0,0,0
2018-02-24,6,19,0,0,0,4,8,6,1,0,0,0
2018-02-25,6,19,0,0,0,3,3,13,0,0,0,0
2018-02-26,6,29,0,0,0,7,4,15,2,1,0,0
2018-02-27,6,11,0,0,0,1,2,8,0,0,0,0
2018-02-28,6,7,0,0,0,3,4,0,0,0,0,0
2018-03-02,6,1,0,0,0,0,0,0,0,1,0,0
2018-03-04,6,1,0,0,0,0,0,1,0,0,0,0
2018-03-05,6,9,0,0,0,1,1,2,1,4,0,0
2018-03-06,6,18,0,0,0,3,0,11,0,4,0,0
2018-03-07,6,6,0,0,0,0,0,2,2,2,0,0
2018-03-08,6,8,0,0,0,0,0,6,1,1,0,0
2018-03-09,6,6,0,0,0,2,0,2,2,0,0,0
2018-03-10,6,30,0,0,0,2,0,6,9,13,0,0
2018-03-11,6,3,0,0,0,1,0,2,0,0,0,0
2018-03-12,6,3,0,0,0,2,0,1,0,0,0,0
2018-03-13,6,22,0,0,0,0,0,9,12,1,0,0
2018-03-14,6,19,0,0,0,5,0,10,1,3,0,0
2018-03-15,6,1,0,0,0,0,0,0,1,0,0,0
2018-03-16,6,7,0,0,0,5,0,1,0,1,0,0
2018-03-17,6,1,0,0,0,0,0,0,1,0,0,0
2018-03-19,6,24,0,0,0,11,0,12,1,0,0,0
2018-03-20,6,15,0,0,0,7,1,5,1,0,0,1
2018-03-21,6,31,0,0,0,5,0,8,6,12,0,0
2018-03-22,6,9,0,0,0,0,0,9,0,0,0,0
2018-03-23,6,8,0,0,0,1,0,2,2,2,0,1
2018-03-24,6,15,0,0,0,1,0,0,3,11,0,0
2018-03-25,6,28,0,0,0,2,0,3,11,12,0,0
2018-03-26,6,28,0,0,0,4,1,12,2,9,0,0
2018-03-27,6,12,0,0,0,1,0,3,6,2,0,0
2018-03-28,6,2,0,0,0,1,0,1,0,0,0,0
2018-03-29,6,9,0,0,0,1,0,1,6,1,0,0
2018-04-02,6,1,0,0,0,1,0,0,0,0,0,0
2018-04-03,6,23,0,0,0,0,1,21,1,0,0,0
2018-04-04,6,20,0,0,0,8,0,7,3,2,0,0
2018-04-05,6,22,0,0,0,2,0,14,2,4,0,0
2018-04-06,6,45,0,0,0,1,0,5,22,17,0,0
2018-04-07,6,9,0,0,0,2,0,0,6,1,0,0
2018-04-09,6,1,0,0,0,0,0,1,0,0,0,0
2018-04-10,6,11,0,0,0,1,0,1,0,9,0,0
2018-04-11,6,4,0,0,0,1,0,2,0,1,0,0
2018-04-12,6,18,0,0,0,4,0,6,2,6,0,0
2018-04-13,6,28,0,0,0,5,0,9,4,10,0,0
2018-04-14,6,23,0,0,0,3,0,7,9,4,0,0
2018-04-15,6,7,0,0,0,1,0,0,3,3,0,0
